Video,velocidad media,mean_intensidad,N,dispersion,max_vel,max_int,min_vel,min_int,var_int,var_vel,mean_fwhm,var_fwhm,V_feat_i_1,V_feat_i_2,V_feat_v_1,V_feat_v_2,V_feat_fwhm_1,V_feat_fwhm_2,loss,recorrido,Clasificación
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2020-12-16-21-53-05.avi,74.49509169804854,647.425,8,5.073422434989012,102.72093936768307,858.9000000000002,45.74830647684365,411.6999999999999,22822.68312500001,268.57862352067133,2.2023854782441274,0.04566074765687686,181.6588585622493,3.4699489807938324,936.6581318197348,56.09182606124094,1.4393757870147168,0.01640619953413383,1.5856824807285363,17.098850478219298,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2020-12-23-22-39-17.avi,39.916278686059904,529.2375,16,5.329476983373056,59.3644835605989,892.1999999999997,11.379123575222321,395.59999999999985,17224.351093749992,139.22895575138725,2.0764762319196364,0.057868498124602985,255.38148058091062,6.21986207925401,2897.2048291863075,245.175734511782,4.718722532176441,0.5602741661443373,3.813537259739945,20.1610551291272,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-01-07-23-08-40.avi,27.94666384327402,1555.494020803961,19,4.096523331979242,48.28501924631114,5731.7,7.119141436030223,415.09999999999985,2135425.5726879425,82.19976628549303,2.400676205814843,0.122898318219974,166.27342022786675,18.06049263643012,12495.312531304082,250.32959743184017,4.294882532441647,0.06634433761517106,4.237207870110119,15.854371908815832,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-01-10-01-04-18.avi,37.955760840362395,4531.786429940186,30,9.340076305639275,55.335761981152814,15380.0,14.641688893909588,881.0,12934765.636728501,157.00804424936726,2.7081059571215613,0.3301615153245291,208.15609603620172,7.743325304137019,29841.821932354596,388.0456805672076,7.629215631080769,0.30615357887939165,3.3360505188340426,36.002806702730815,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-01-14-21-30-18.avi,12.878452415549784,1552.8563636363638,55,4.833992769598948,31.14898198647992,2827.2,3.6437437966593818,446.79999999999967,393108.097368595,42.02904082930046,2.380036010906247,0.07423173803968962,113.558372051564,5.1998276827608665,8157.787920635828,170.2994088328309,5.567908251917865,0.08025245373471503,11.891855934060006,17.86311110935991,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_3_2020-05-14-00-45-49.avi,32.33834504306696,4502.732394175629,135,34.89295585994468,66.91657575774616,8720.447406132334,1.1459884943420016,1252.1999999999996,3649295.063971328,280.84259198895955,2.916935489161762,0.1598155851004104,72.94639457654816,2.1933542176897887,14193.085827242532,729.3668151726883,3.2027810596581894,0.13158028397345106,30.053184368194426,139.2646080158047,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_3_2020-05-09-23-25-13.avi,33.93103263146415,4280.39674587219,50,14.883891444810992,56.04509508140624,8871.376066293227,10.111123634622873,902.6,3925209.10226106,100.77191189226076,2.853253199156705,0.2315724918246041,107.48401821911531,2.4521364812885107,18960.64343002153,667.359132289186,5.1180318882671765,0.2845693936391052,10.719931142211408,55.362684386121614,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_3_2020-04-30-02-32-30.avi,115.44916907091073,1750.7675,20,19.573012344743194,147.0624350389338,3121.6,90.93669743472158,937.35,363514.56631875,239.61636145115418,2.3805582973255253,0.07822348051349827,316.53472911641535,37.00500694707252,7942.567643626571,1046.635960523446,6.477737608235638,0.3145126620059332,3.9011472003468834,73.25470990418259,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_3_2020-03-05-00-22-37.avi,59.2004557056778,1895.494444444444,18,8.337190085205545,77.54321299850558,2840.5999999999995,21.94687965262225,993.2999999999997,332107.42385802465,194.91469098417198,2.574528157104784,0.08441162879628747,340.65731590189154,14.785738516422715,6719.367223928711,49.3441281279004,6.846675667154146,0.009336560913298956,4.0309140770438034,32.56970741624865,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-03-07-04-37-24.avi,43.81062159017376,832.0799999999998,5,1.8768353527580264,52.08242475431992,1009.8,38.30788711475237,673.4000000000002,13654.425599999988,26.582653707602375,2.136405505907509,0.031358978136752536,28.05133242447949,0.8877184201629007,812.2303136267262,1.1283263847734817,1.3796897770785406,0.03746476676876896,0.2647000385259446,5.995992259453933,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-03-07-05-07-20.avi,45.67635055029379,2441.4722222222226,9,3.686432737627897,63.016043631093524,4769.1,29.085181711084843,994.6,967527.8778395064,161.62485102872884,2.4667956198894916,0.0653224245814183,108.69999174421592,10.261334038240747,9859.876820109228,681.9756962763818,3.9537984808815803,0.25095703130589403,0.8629683661043828,12.667217592025265,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-03-09-01-23-14.avi,15.50412875992896,2547.1181818181813,11,1.0474676623696997,27.727041426055994,5484.15,5.172083038619955,942.8000000000003,1405788.577396694,50.26039298374207,2.432812030441766,0.138070421107107,92.26192192413872,6.168673112764496,9967.439535880474,83.30773308602821,4.381153647102399,0.051854190770202126,1.441430733914018,3.7069967845231813,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-03-10-01-30-18.avi,47.501348648386895,1475.9681818181818,11,4.316866624932366,65.37491264551133,3093.05,26.11041507898607,628.6000000000001,376668.6623966943,91.10954046225059,2.241886124861141,0.07477949757951594,177.60540400017373,4.039401544346918,6335.056684856703,443.33800073890256,3.243782353216245,0.25190787710492896,1.595197430708993,15.496953232183454,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-03-10-02-55-46.avi,37.046026541416346,725.5943181818183,44,12.986600122633511,61.984958820805595,1089.65,13.858686363643468,417.34999999999985,27787.847069989682,148.54668259650674,2.1573380760059013,0.05292507861559508,123.93706404829213,10.351330850717645,1882.6168598859801,84.74396698699233,2.624083683272268,0.15976686977760676,10.376611754665078,49.928560994252386,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-03-11-02-02-53.avi,40.927654915313475,615.4470588235292,17,5.5887176992206955,63.06387587609274,987.0,18.64880044516352,473.75,15194.004844290665,177.6251794526012,2.0819923868079013,0.03392812942991438,270.9980979928506,1.987084047698164,1587.4983306184433,6.9883117536167925,4.667366588735733,0.08088647609979498,2.8121259342279643,21.733550663684376,1
/content/drive/MyDrive/Proyecto Bocosur/Datos Entrenamiento/Bolidos/Station_2_2021-03-06-22-16-22.avi,14.540677917053594,4432.912835512943,41,5.024618681253979,29.595645488674666,5542.4,6.339636281262052,1154.8000000000004,1404344.8022264913,35.24434752056385,3.0902518105021106,0.11283557734247568,142.44857186395572,1.112434218517928,7418.981475784366,511.0107324024232,1.836936335611699,0.015482296726794513,4.6628462624381655,19.08555342781513,1
